catprofesi,despersonalizacion,agotamiento,realizacion,Lid_total,CT_total,DEMA_riesgo,DEMA_carga,Dem_sitio,Dem_emo,Reco_total,EXT_casa,EXT_zona,inhibicion_Ac,inhibicion_(Tmp_RTA)
0,1,0,3,42,37,21,12,22,18,9,27,20,23,0.99,18.59
1,0,11,12,30,36,28,17,19,18,12,30,18,17,1.0,60.37
2,1,0,12,46,40,27,12,17,20,14,30,20,19,0.99,81.85
3,1,2,23,48,37,18,12,23,17,8,17,14,21,0.99,104.22
4,1,3,7,41,37,30,11,23,17,7,30,15,16,1.0,8.25
5,1,6,2,40,36,26,13,25,16,12,30,12,24,0.97,301.9
6,1,4,20,30,41,29,16,23,15,10,30,15,23,1.0,64.97
7,1,2,12,47,41,27,6,18,19,9,29,19,13,0.97,44.58
8,0,8,17,47,43,27,8,18,17,11,30,20,23,0.99,79.48
9,1,11,2,42,45,26,8,22,14,11,26,20,21,0.99,301.9
10,1,0,5,21,40,30,12,25,20,8,30,15,17,1.0,87.68
11,0,5,45,48,30,29,13,21,17,8,28,18,24,0.99,69.91
12,1,0,34,0,37,29,12,25,14,8,30,10,22,1.0,29.01
13,0,0,7,30,44,18,12,18,16,8,30,16,17,0.98,175.51
14,1,15,31,44,36,17,12,16,16,9,29,15,21,0.95,80.94
15,1,8,18,46,40,27,12,21,10,13,29,4,25,1.0,6.3
16,1,9,15,15,37,30,16,20,20,13,30,18,22,0.99,34.02
17,1,5,11,48,27,24,10,21,20,19,27,15,21,1.0,69.91
18,0,1,3,45,45,28,12,17,14,14,30,20,19,0.99,40.22
19,0,0,14,32,38,25,14,22,18,9,26,16,18,0.99,84.82
20,0,0,18,47,36,30,10,20,20,15,28,12,21,0.98,115.05
21,1,11,7,30,37,28,10,21,20,9,30,16,24,1.0,75.16
22,1,8,13,44,37,30,8,18,20,8,26,17,19,0.97,31.68
23,1,9,10,47,43,22,11,22,6,9,29,18,21,1.0,179.12
24,0,9,3,18,38,29,14,21,20,16,30,11,25,0.98,0.23
25,1,2,21,39,45,26,8,21,20,8,30,20,19,0.96,70.74
26,1,3,18,32,37,25,16,16,16,11,26,17,19,0.89,8.47
27,1,12,4,42,41,30,6,20,17,8,30,17,24,1.0,53.59
28,0,11,11,47,44,30,15,20,20,16,27,11,23,1.0,10.13
29,0,3,51,42,40,30,13,5,7,10,28,12,18,0.98,49.02
30,0,14,8,38,30,29,15,22,20,5,30,20,23,1.0,12.26
31,1,3,3,36,36,30,16,20,15,9,28,20,23,0.97,75.45
32,1,2,16,42,45,29,12,24,15,10,26,17,17,0.99,29.01
33,1,0,32,36,42,30,11,22,20,12,30,12,23,1.0,125.07
34,1,6,21,44,33,23,8,21,19,10,27,20,25,0.99,30.12
35,1,9,17,43,32,30,9,17,16,12,27,12,21,0.95,137.24
36,1,8,15,25,40,15,10,16,20,12,30,18,17,0.97,30.97
37,1,5,3,39,38,30,11,19,20,16,29,13,19,0.94,26.32
38,1,11,0,46,45,27,11,19,19,10,30,19,22,0.97,45.0
39,1,3,11,45,41,30,13,21,20,9,30,10,25,0.99,77.77
40,0,10,8,14,43,24,13,24,20,16,30,13,24,0.94,83.34
41,1,0,8,41,36,30,11,11,16,13,28,19,17,0.95,17.95
42,1,9,4,42,36,21,13,18,20,9,28,17,19,0.99,78.06
43,1,14,48,41,43,28,12,16,17,6,30,13,19,0.95,75.45
44,0,25,13,32,41,23,10,15,14,12,30,16,17,1.0,6.3
45,1,17,4,48,38,27,12,21,20,10,27,10,16,0.99,24.92
46,1,9,4,48,42,22,9,13,20,9,21,16,23,0.98,41.09
47,1,10,16,43,41,27,14,20,9,10,30,15,17,0.96,69.91
48,0,5,23,44,39,29,13,16,20,12,10,17,23,1.0,42.39
49,1,18,13,34,38,24,13,22,14,8,30,13,17,0.88,84.93
50,1,16,2,39,38,26,12,20,17,9,24,17,20,1.0,16.59
51,1,9,12,21,40,28,9,22,16,17,29,7,16,0.99,30.12
52,1,14,10,46,41,25,7,19,17,11,29,13,19,0.99,120.3
53,1,2,13,44,40,27,15,19,16,11,29,14,25,0.99,148.9
54,1,10,12,39,45,30,10,18,9,10,30,12,22,0.96,8.15
55,1,13,0,40,41,27,13,25,12,8,29,16,21,0.97,151.02
56,1,2,8,48,40,28,8,24,18,10,30,14,23,0.99,66.67
57,1,0,21,41,45,30,8,19,20,8,30,16,21,1.0,17.95
58,1,12,0,39,32,27,10,21,19,8,27,15,23,0.95,117.55
59,1,14,14,48,45,22,12,21,20,11,28,16,25,1.0,146.54
60,1,6,0,47,43,30,12,24,17,12,29,14,24,0.95,85.48
61,1,0,0,48,45,28,7,22,20,10,28,15,23,0.98,14.99
62,0,9,5,31,45,27,12,19,6,5,28,18,19,0.96,94.3
63,0,4,40,48,40,27,12,16,16,8,28,16,21,0.98,12.26
64,1,6,13,42,41,23,12,23,19,9,17,12,25,1.0,117.55
65,1,0,0,46,38,22,9,22,6,8,18,14,23,1.0,24.37
66,1,12,11,32,40,13,9,21,12,8,30,10,20,1.0,8.15
67,0,0,22,39,31,25,15,20,12,12,30,20,25,0.99,69.91
68,1,0,8,43,42,28,12,17,16,10,30,13,18,0.98,48.93
69,1,7,13,32,42,22,7,25,19,6,30,16,20,1.0,120.3
70,0,6,28,36,45,30,12,23,17,6,30,13,19,0.98,146.54
71,1,6,1,39,38,13,11,25,17,10,30,18,15,0.89,11.75
72,0,19,14,46,31,24,8,22,16,13,23,12,24,0.98,13.62
73,0,12,15,45,41,8,12,20,20,17,30,18,21,1.0,4.2
74,1,0,9,47,40,29,13,20,13,14,21,13,25,1.0,77.77
75,1,11,27,18,36,24,11,19,18,9,30,14,25,0.97,51.07
76,1,7,21,39,38,27,11,19,19,10,27,12,22,0.99,39.22
